"Class","Method","URI","User-Role"
"Valid","GET","/database","admin"
"Valid","GET","/config","admin"
"Valid","GET","/external","admin"
"Valid","GET","/","user"
"Valid","GET","/vulnerabilities/brute/","user"
"Valid","GET","/vulnerabilities/brute/","user"
"Valid","GET","/vulnerabilities/exec/","user"
"Valid","GET","/vulnerabilities/csrf/","user"
"Valid","GET","/vulnerabilities/fi/","user"
"Valid","GET","/vulnerabilities/upload/","user"
"Valid","GET","/vulnerabilities/captcha/","user"
"Valid","GET","/vulnerabilities/sqli/","user"
"Valid","GET","/vulnerabilities/sqli_blind/","user"
"Valid","GET","/vulnerabilities/weak_id/","user"
"Valid","GET","/vulnerabilities/xss_s/","user"
"Valid","GET","/vulnerabilities/csp/","user"
"Valid","GET","/vulnerabilities/javascript/","user"
"Valid","GET","/vulnerabilities/authbypass/","user"
"Valid","GET","/vulnerabilities/open_redirect/","user"
"Valid","GET","/vulnerabilities/cryptography/","user"
